Date,Resident/Description,Category,Type,Amount,Method,Status
Apr 22, 2026,Louise Jenkins,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Evelyn Barnes,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Kevin Ross,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Brian Coleman,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Jacqueline Henderson,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Stephen Wood,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Gloria Bennett,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Eric Sanders,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Alice Kelly,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Gary Brooks,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Frances Watson,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Jacob James,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Carol Ramirez,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Jeffrey Gray,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Diane Peterson,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Joyce Ward,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Donald Howard,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Daniel Torres,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Donna Cox,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Mark Richardson,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Catherine Cooper,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Anthony Rivera,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Ashley Bailey,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Matthew Murphy,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Sandra Bell,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Charles Reed,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Barbara Rogers,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Donald Morgan,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Janet Cook,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Thomas Morris,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Kathleen Sanchez,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Joseph Stewart,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Ann Collins,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Richard Edwards,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Betty Evans,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Charles Parker,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Dorothy Campbell,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,John Phillips,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Kathleen Roberts,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Joshua Mitchell,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Susan Adams,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Brenda Carter,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Andrew Nelson,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Paul Green,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Dorothy Scott,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Donald Hill,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Elizabeth Lopez,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Mark Wright,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Carolyn King,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Anthony Allen,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Barbara Hall,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Matthew Young,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Nancy Walker,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Daniel Lewis,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Steven White,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Christine Harris,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Deborah Clark,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,Christopher Martin,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Margaret Lee,Certificate of Indigency,Income,₱80.00,GCash,Pending
Apr 22, 2026,Robert Miller,Certificate of Residency,Income,₱50.00,GCash,Pending
Apr 22, 2026,Linda Rodriguez,Barangay Clearance,Income,₱70.00,GCash,Pending
Apr 22, 2026,David Garcia,Certificate of Indigency,Income,₱80.00,GCash,Paid
Apr 22, 2026,null,Certificate of Residency,Income,₱50.00,GCash,Paid
Apr 22, 2026,Michael Davis,Barangay Clearance,Income,₱70.00,GCash,Paid
Apr 22, 2026,James Wilson,Barangay Clearance,Income,₱70.00,GCash,Released
